InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,6,-1.0,1360,735,1955,0.54,0.504,30,-1,4,0
0,0.05,5,-1.0,1360,1042,2303,0.766,0.467,30,-1,4,0
0,0.05,9,-1.0,5072,2925,6305,0.577,0.457,105,-1,0,0
0,0.05,8,-1.0,5072,3249,7246,0.64,0.527,105,-1,0,0
0,0.05,7,-1.0,5072,3625,8111,0.715,0.583,105,-1,0,0
0,0.05,6,-1.0,5072,4329,9126,0.853,0.588,105,-1,0,0
0,0.05,5,-1.0,5072,7858,10070,1.549,0.044,105,-1,0,0
0,0.05,9,-1.0,3678,1962,4001,0.533,0.398,80,-1,0,0
0,0.05,8,-1.0,3678,2195,4608,0.597,0.451,80,-1,0,0
0,0.05,7,-1.0,3678,2480,5375,0.674,0.525,80,-1,0,0
0,0.05,6,-1.0,3678,3025,6081,0.822,0.522,80,-1,0,0
0,0.05,5,-1.0,3678,5874,6741,1.597,-0.088,80,-1,0,0
0,0.05,9,-1.0,2630,1200,2300,0.456,0.367,55,-1,0,0
0,0.05,8,-1.0,2630,1364,2762,0.518,0.426,55,-1,0,0
0,0.05,7,-1.0,2630,1550,3250,0.589,0.475,55,-1,0,0
0,0.05,6,-1.0,2630,1968,3730,0.748,0.458,55,-1,0,0
0,0.05,5,-1.0,2630,4239,4131,1.611,-0.231,55,-1,0,0
0,0.05,9,-1.0,1413,565,1058,0.4,0.35,30,-1,0,0
0,0.05,8,-1.0,1413,628,1178,0.444,0.39,30,-1,0,0
0,0.05,7,-1.0,1413,712,1320,0.504,0.432,30,-1,0,0
0,0.05,6,-1.0,1413,969,1468,0.685,0.361,30,-1,0,0
0,0.05,5,-1.0,1413,2601,1668,1.839,-0.61,30,-1,0,0
0,0.05,9,-1.0,5092,1574,4724,0.309,0.309,105,-1,28,0
0,0.05,8,-1.0,5092,1804,5415,0.354,0.354,105,-1,28,0
0,0.05,7,-1.0,5092,2063,6192,0.405,0.405,105,-1,28,0
0,0.05,6,-1.0,5092,2394,7179,0.47,0.469,105,-1,28,0
0,0.05,5,-1.0,5092,2790,8288,0.548,0.537,105,-1,28,0
0,0.05,9,-1.0,3857,1172,3518,0.304,0.304,80,-1,28,0
0,0.05,8,-1.0,3857,1332,3997,0.345,0.346,80,-1,28,0
0,0.05,7,-1.0,3857,1541,4626,0.399,0.4,80,-1,28,0
0,0.05,6,-1.0,3857,1755,5263,0.455,0.455,80,-1,28,0
0,0.05,5,-1.0,3857,2047,6085,0.531,0.52,80,-1,28,0
0,0.05,9,-1.0,2513,851,2555,0.339,0.339,55,-1,28,0
0,0.05,8,-1.0,2513,951,2853,0.378,0.379,55,-1,28,0
0,0.05,7,-1.0,2513,1057,3172,0.42,0.421,55,-1,28,0
0,0.05,6,-1.0,2513,1203,3606,0.479,0.478,55,-1,28,0
0,0.05,5,-1.0,2513,1377,4099,0.548,0.539,55,-1,28,0
0,0.05,9,-1.0,1478,479,1437,0.324,0.325,30,-1,28,0
0,0.05,8,-1.0,1478,552,1656,0.373,0.374,30,-1,28,0
0,0.05,7,-1.0,1478,632,1897,0.427,0.428,30,-1,28,0
0,0.05,6,-1.0,1478,736,2208,0.498,0.498,30,-1,28,0
0,0.05,5,-1.0,1478,840,2498,0.568,0.558,30,-1,28,0
0,0.05,9,-1.0,5057,1660,4973,0.328,0.328,105,-1,24,0
0,0.05,8,-1.0,5057,1902,5698,0.376,0.376,105,-1,24,0
0,0.05,7,-1.0,5057,2165,6480,0.428,0.428,105,-1,24,0
0,0.05,6,-1.0,5057,2496,7438,0.493,0.491,105,-1,24,0
0,0.05,5,-1.0,5057,2866,8419,0.567,0.553,105,-1,24,0
0,0.05,9,-1.0,3777,1191,3568,0.315,0.316,80,-1,24,0
0,0.05,8,-1.0,3777,1366,4089,0.362,0.362,80,-1,24,0
0,0.05,7,-1.0,3777,1544,4625,0.409,0.409,80,-1,24,0
0,0.05,6,-1.0,3777,1798,5369,0.476,0.475,80,-1,24,0
0,0.05,5,-1.0,3777,2113,6193,0.559,0.541,80,-1,24,0
0,0.05,9,-1.0,2555,883,2645,0.345,0.346,55,-1,24,0
0,0.05,8,-1.0,2555,991,2968,0.388,0.388,55,-1,24,0
0,0.05,7,-1.0,2555,1116,3340,0.437,0.437,55,-1,24,0
0,0.05,6,-1.0,2555,1236,3699,0.484,0.482,55,-1,24,0
0,0.05,5,-1.0,2555,1437,4260,0.562,0.555,55,-1,24,0
0,0.05,9,-1.0,1449,490,1466,0.338,0.339,30,-1,24,0
0,0.05,8,-1.0,1449,543,1623,0.374,0.375,30,-1,24,0
0,0.05,7,-1.0,1449,617,1845,0.426,0.426,30,-1,24,0
0,0.05,6,-1.0,1449,698,2088,0.481,0.481,30,-1,24,0
0,0.05,5,-1.0,1449,811,2396,0.559,0.548,30,-1,24,0
0,0.05,9,-1.0,5137,1631,4877,0.317,0.318,105,-1,20,0
0,0.05,8,-1.0,5137,1880,5619,0.366,0.366,105,-1,20,0
0,0.05,7,-1.0,5137,2150,6408,0.418,0.417,105,-1,20,0
0,0.05,6,-1.0,5137,2462,7305,0.479,0.475,105,-1,20,0
0,0.05,5,-1.0,5137,2896,8404,0.564,0.545,105,-1,20,0
0,0.05,9,-1.0,3770,1239,3700,0.329,0.329,80,-1,20,0
0,0.05,8,-1.0,3770,1377,4110,0.365,0.365,80,-1,20,0
0,0.05,7,-1.0,3770,1562,4654,0.414,0.414,80,-1,20,0
0,0.05,6,-1.0,3770,1830,5433,0.485,0.482,80,-1,20,0
0,0.05,5,-1.0,3770,2123,6186,0.563,0.545,80,-1,20,0
0,0.05,9,-1.0,2656,860,2567,0.324,0.324,55,-1,20,0
0,0.05,8,-1.0,2656,966,2882,0.364,0.364,55,-1,20,0
0,0.05,7,-1.0,2656,1138,3392,0.428,0.427,55,-1,20,0
0,0.05,6,-1.0,2656,1297,3857,0.488,0.486,55,-1,20,0
0,0.05,5,-1.0,2656,1536,4483,0.578,0.559,55,-1,20,0
0,0.05,9,-1.0,1446,462,1366,0.319,0.32,30,-1,20,0
0,0.05,8,-1.0,1446,531,1584,0.367,0.368,30,-1,20,0
0,0.05,7,-1.0,1446,588,1751,0.406,0.407,30,-1,20,0
0,0.05,6,-1.0,1446,677,2017,0.468,0.466,30,-1,20,0
0,0.05,5,-1.0,1446,796,2317,0.55,0.526,30,-1,20,0
0,0.05,9,-1.0,4951,1647,4903,0.333,0.333,105,-1,16,0
0,0.05,8,-1.0,4951,1882,5607,0.38,0.38,105,-1,16,0
0,0.05,7,-1.0,4951,2156,6402,0.435,0.436,105,-1,16,0
0,0.05,6,-1.0,4951,2504,7383,0.506,0.505,105,-1,16,0
0,0.05,5,-1.0,4951,2973,8550,0.6,0.58,105,-1,16,0
0,0.05,9,-1.0,3818,1287,3830,0.337,0.337,80,-1,16,0
0,0.05,8,-1.0,3818,1465,4360,0.384,0.384,80,-1,16,0
0,0.05,7,-1.0,3818,1646,4906,0.431,0.431,80,-1,16,0
0,0.05,6,-1.0,3818,1884,5593,0.493,0.492,80,-1,16,0
0,0.05,5,-1.0,3818,2206,6412,0.578,0.557,80,-1,16,0
0,0.05,9,-1.0,2560,826,2448,0.323,0.323,55,-1,16,0
0,0.05,8,-1.0,2560,960,2859,0.375,0.375,55,-1,16,0
0,0.05,7,-1.0,2560,1105,3288,0.431,0.432,55,-1,16,0
0,0.05,6,-1.0,2560,1257,3730,0.491,0.49,55,-1,16,0
0,0.05,5,-1.0,2560,1461,4245,0.57,0.551,55,-1,16,0
0,0.05,9,-1.0,1444,464,1380,0.321,0.322,30,-1,16,0
0,0.05,8,-1.0,1444,520,1553,0.36,0.361,30,-1,16,0
0,0.05,7,-1.0,1444,604,1801,0.418,0.419,30,-1,16,0
0,0.05,6,-1.0,1444,684,2039,0.473,0.474,30,-1,16,0
0,0.05,5,-1.0,1444,792,2343,0.548,0.544,30,-1,16,0
0,0.05,9,-1.0,4942,1588,4707,0.321,0.321,105,-1,12,0
0,0.05,8,-1.0,4942,1838,5449,0.372,0.372,105,-1,12,0
0,0.05,7,-1.0,4942,2136,6295,0.432,0.432,105,-1,12,0
0,0.05,6,-1.0,4942,2499,7301,0.506,0.504,105,-1,12,0
0,0.05,5,-1.0,4942,2990,8462,0.605,0.577,105,-1,12,0
0,0.05,9,-1.0,3757,1186,3498,0.316,0.316,80,-1,12,0
0,0.05,8,-1.0,3757,1348,3975,0.359,0.359,80,-1,12,0
0,0.05,7,-1.0,3757,1556,4596,0.414,0.414,80,-1,12,0
0,0.05,6,-1.0,3757,1824,5360,0.485,0.485,80,-1,12,0
0,0.05,5,-1.0,3757,2162,6189,0.575,0.556,80,-1,12,0
0,0.05,9,-1.0,2641,849,2504,0.321,0.322,55,-1,12,0
0,0.05,8,-1.0,2641,971,2876,0.368,0.368,55,-1,12,0
0,0.05,7,-1.0,2641,1104,3270,0.418,0.418,55,-1,12,0
0,0.05,6,-1.0,2641,1248,3687,0.472,0.473,55,-1,12,0
0,0.05,5,-1.0,2641,1496,4335,0.566,0.552,55,-1,12,0
0,0.05,9,-1.0,1364,463,1362,0.339,0.34,30,-1,12,0
0,0.05,8,-1.0,1364,520,1530,0.381,0.382,30,-1,12,0
0,0.05,7,-1.0,1364,585,1729,0.429,0.429,30,-1,12,0
0,0.05,6,-1.0,1364,689,2038,0.505,0.503,30,-1,12,0
0,0.05,5,-1.0,1364,808,2346,0.592,0.577,30,-1,12,0
0,0.05,9,-1.0,4902,1669,4860,0.34,0.341,105,-1,8,0
0,0.05,8,-1.0,4902,1903,5530,0.388,0.388,105,-1,8,0
0,0.05,7,-1.0,4902,2203,6392,0.449,0.449,105,-1,8,0
0,0.05,6,-1.0,4902,2608,7443,0.532,0.528,105,-1,8,0
0,0.05,5,-1.0,4902,3178,8705,0.648,0.605,105,-1,8,0
0,0.05,9,-1.0,3812,1222,3531,0.32,0.321,80,-1,8,0
0,0.05,8,-1.0,3812,1426,4115,0.374,0.374,80,-1,8,0
0,0.05,7,-1.0,3812,1672,4830,0.438,0.439,80,-1,8,0
0,0.05,6,-1.0,3812,1945,5616,0.51,0.51,80,-1,8,0
0,0.05,5,-1.0,3812,2348,6567,0.616,0.586,80,-1,8,0
0,0.05,9,-1.0,2609,863,2470,0.331,0.331,55,-1,8,0
0,0.05,8,-1.0,2609,984,2830,0.377,0.377,55,-1,8,0
0,0.05,7,-1.0,2609,1110,3206,0.425,0.425,55,-1,8,0
0,0.05,6,-1.0,2609,1304,3755,0.5,0.496,55,-1,8,0
0,0.05,5,-1.0,2609,1576,4408,0.604,0.567,55,-1,8,0
0,0.05,9,-1.0,1427,463,1329,0.324,0.325,30,-1,8,0
0,0.05,8,-1.0,1427,533,1541,0.373,0.374,30,-1,8,0
0,0.05,7,-1.0,1427,621,1808,0.435,0.436,30,-1,8,0
0,0.05,6,-1.0,1427,712,2066,0.499,0.499,30,-1,8,0
0,0.05,5,-1.0,1427,831,2344,0.582,0.554,30,-1,8,0
0,0.05,9,-1.0,5110,1882,5179,0.368,0.368,105,-1,4,0
0,0.05,8,-1.0,5110,2189,6009,0.428,0.428,105,-1,4,0
0,0.05,7,-1.0,5110,2547,7010,0.498,0.499,105,-1,4,0
0,0.05,6,-1.0,5110,3015,8243,0.59,0.582,105,-1,4,0
0,0.05,5,-1.0,5110,3607,9417,0.706,0.638,105,-1,4,0
0,0.05,9,-1.0,3713,1299,3609,0.35,0.35,80,-1,4,0
0,0.05,8,-1.0,3713,1494,4171,0.402,0.403,80,-1,4,0
0,0.05,7,-1.0,3713,1743,4855,0.469,0.469,80,-1,4,0
0,0.05,6,-1.0,3713,2030,5603,0.547,0.543,80,-1,4,0
0,0.05,5,-1.0,3713,2426,6494,0.653,0.606,80,-1,4,0
0,0.05,9,-1.0,2550,842,2281,0.33,0.33,55,-1,4,0
0,0.05,8,-1.0,2550,963,2647,0.377,0.378,55,-1,4,0
0,0.05,7,-1.0,2550,1107,3047,0.434,0.434,55,-1,4,0
0,0.05,6,-1.0,2550,1295,3581,0.508,0.506,55,-1,4,0
0,0.05,5,-1.0,2550,1571,4218,0.616,0.579,55,-1,4,0
0,0.05,9,-1.0,1400,482,1301,0.344,0.345,30,-1,4,0
0,0.05,8,-1.0,1400,542,1484,0.387,0.388,30,-1,4,0
0,0.05,7,-1.0,1400,611,1691,0.436,0.437,30,-1,4,0
0,0.05,6,-1.0,1400,720,1989,0.514,0.512,30,-1,4,0
0,0.05,5,-1.0,1400,855,2315,0.61,0.573,30,-1,4,0
0,0.05,9,-1.0,4871,2943,6401,0.604,0.488,105,-1,0,0
0,0.05,8,-1.0,4871,3232,7296,0.663,0.558,105,-1,0,0
0,0.05,7,-1.0,4871,3547,8148,0.728,0.625,105,-1,0,0
0,0.05,6,-1.0,4871,3922,9070,0.805,0.67,105,-1,0,0
0,0.05,5,-1.0,4871,4846,9957,0.995,0.61,105,-1,0,0
0,0.05,9,-1.0,3835,1946,4012,0.507,0.388,80,-1,0,0
0,0.05,8,-1.0,3835,2168,4624,0.565,0.441,80,-1,0,0
0,0.05,7,-1.0,3835,2437,5352,0.635,0.51,80,-1,0,0
0,0.05,6,-1.0,3835,2731,6032,0.712,0.575,80,-1,0,0
0,0.05,5,-1.0,3835,3353,6776,0.874,0.553,80,-1,0,0
0,0.05,9,-1.0,2587,1188,2285,0.459,0.352,55,-1,0,0
0,0.05,8,-1.0,2587,1344,2752,0.519,0.4,55,-1,0,0
0,0.05,7,-1.0,2587,1502,3171,0.58,0.456,55,-1,0,0
0,0.05,6,-1.0,2587,1707,3656,0.66,0.524,55,-1,0,0
0,0.05,5,-1.0,2587,2083,4073,0.805,0.515,55,-1,0,0
0,0.05,9,-1.0,1395,542,1008,0.388,0.335,30,-1,0,0
0,0.05,8,-1.0,1395,609,1128,0.436,0.373,30,-1,0,0
0,0.05,7,-1.0,1395,705,1318,0.505,0.441,30,-1,0,0
0,0.05,6,-1.0,1395,777,1450,0.557,0.485,30,-1,0,0
0,0.05,5,-1.0,1395,918,1606,0.658,0.495,30,-1,0,0
